iter	Passed	Remaining
973	60413	1612
974	60473	1550
975	60541	1488
976	60605	1426
977	60665	1364
978	60722	1302
979	60788	1240
980	60854	1178
981	60914	1116
982	60971	1054
983	61034	992
984	61099	930
985	61165	868
986	61226	806
987	61289	744
988	61351	682
989	61415	620
990	61474	558
991	61531	496
992	61593	434
993	61654	372
994	61712	310
995	61776	248
996	61833	186
997	61895	124
998	61956	62
999	62017	0
